date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
5-May,67,45,56,1.8,70,44,49,9,0,526,1944,,0,0,0,28.94,29.89,8.2,24,30,17,30
6-May,72,41,56,1.5,55,40,49,9,0,525,1945,,0,0,0,28.98,29.9,2.5,14,250,10,240
7-May,72,47,60,5.1,50,41,51,5,0,524,1946,,T,0,0,28.77,29.7,8.8,28,330,21,330
8-May,67,37,52,-3.2,42,31,44,13,0,523,1948,,0,0,0,28.97,29.92,8.2,40,270,24,270
9-May,67,37,52,-3.5,49,35,45,13,0,521,1949,,0,0,0,29.11,30.07,7.1,23,120,16,150
10-May,54,48,51,-4.8,75,42,47,14,0,520,1950,"RA,BR",0.54,0,0,29.15,30.09,10.7,29,110,24,110
11-May,68,49,58,1.9,77,52,55,7,0,519,1951,BR,0,0,0,29.15,30.08,5.5,17,90,13,100
12-May,73,56,64,7.6,85,58,60,1,0,518,1952,"TS,RA,FG,BR",0.62,0,0,29,29.91,9,25,280,20,290
13-May,64,50,57,0.3,69,46,51,8,0,517,1953,RA,0.05,0,0,28.95,29.88,12.4,32,260,24,270
14-May,50,39,44,-13,72,35,40,21,0,516,1954,"RA,BR",0.56,0,0,28.87,29.84,13.8,36,300,26,300
15-May,48,33,40,-17.4,61,28,35,25,0,515,1955,SN,T,T,0,29.08,30.06,10.9,32,290,24,300
16-May,68,38,53,-4.7,51,36,46,12,0,514,1956,RA,0.01,0,0,29.14,30.09,13.4,37,110,26,260
17-May,64,45,54,-4,60,40,48,11,0,513,1957,,T,0,0,29.25,30.19,7.3,17,30,13,40
18-May,66,38,52,-6.3,53,35,45,13,0,512,1958,,0,0,0,29.28,30.23,5.8,22,40,16,30
19-May,71,40,56,-2.7,51,38,48,9,0,511,1959,,0,0,0,29.26,30.2,2.2,15,10,10,320
20-May,70,43,56,-3,50,40,50,9,0,510,2000,,0,0,0,29.24,30.18,5.6,19,50,14,50
